日线	000581	威孚高科										
时间	开盘价	最高价	最低价	收盘价	成交量	成交额	MA.MA1	MA.MA2	MA.MA3	MA.MA4	MA.MA5	MA.MA6
20090824	9.949999809	10.35000038	9.710000038	10.19999981	118193	11791.40039	9.544000626	10.18999958	10.67400074	11.04466629	10.80408573	8.29196167
20090821	9.5	10.18999958	9.420000076	10.06000042	225073	22248.40039	9.421999931	10.26000023	10.74700069	11.09799767	10.77866936	8.278521538
20090820	8.699999809	9.409999847	8.699999809	9.409999847	178833	16678.80078	9.541999817	10.34399986	10.82150078	11.14966679	10.753335	8.265361786
20090819	9.460000038	9.550000191	8.550000191	8.550000191	97440	8733.400391	9.957999229	10.54900074	10.91699982	11.22200012	10.73775101	8.25780201
20090818	9.350000381	9.619999886	9.119999886	9.5	69122	6472.899902	10.51799965	10.84700012	11.05949974	11.31300068	10.73616695	8.25684166
20090817	10.39999962	10.40999985	9.590000153	9.590000153	125765	12395.7998	10.83600044	11.01900005	11.14350033	11.37533283	10.7282505	8.252601624
20090814	11.51000023	11.60000038	10.65999985	10.65999985	134389	14891.5	11.09800053	11.1779995	11.26399994	11.43166637	10.72141743	8.247441292
20090813	11.43999958	11.75	11.18000031	11.48999977	188618	21733.19922	11.14599895	11.21899986	11.32299995	11.45699978	10.70291615	8.237921715
20090812	11.32999992	11.90999985	11.27999973	11.35000038	320488	37241.19922	11.1400013	11.14900017	11.35400009	11.4649992	10.67366695	8.226682663
20090811	10.92000008	11.14999962	10.80000019	11.09000015	88135	9678.5	11.1760006	11.11200142	11.40649986	11.47633266	10.64183426	8.214921951
20090810	11.02000046	11.05000019	10.69999981	10.89999962	101796	11097.90039	11.20200062	11.15799999	11.47199917	11.47266674	10.61191845	8.205401421
20090807	11.40999985	11.52999973	10.80000019	10.89999962	148109	16670.5	11.25800037	11.23399925	11.51699924	11.4683342	10.58858395	8.196762085
20090806	11.52999973	11.69999981	11.31000042	11.46000004	156538	17978.59961	11.29199982	11.29899979	11.55249977	11.4713335	10.56441689	8.190081596
20090805	11.21000004	11.64000034	11.14999962	11.52999973	151103	17268.40039	11.15799999	11.28499985	11.55850029	11.45899963	10.53016758	8.180401802
20090804	11.23999977	11.31999969	10.97999954	11.22000027	108160	12027.7002	11.04800034	11.27200031	11.54600048	11.43833351	10.4952507	8.171681404
